策略,策略代碼,類型,年度,樣本數,10日中位報酬%,20日中位報酬%,20日勝率%,20日中位MAE%,20日達+5率%
RS突破70＋結構≥80,rs70_struct,RS,2023,1149,0.0,0.487,52.74,-4.842,60.31
RS突破70＋結構≥80,rs70_struct,RS,2024,941,-0.985,-1.094,45.06,-6.657,61.53
RS突破70＋結構≥80,rs70_struct,RS,2025,1069,-0.865,-1.685,40.69,-6.016,49.67
RS突破70＋結構≥80,rs70_struct,RS,2026,418,0.17,0.0,49.28,-6.295,63.88
RS突破85＋結構≥80,rs85_struct,RS,2023,623,0.145,0.211,51.04,-5.474,67.09
RS突破85＋結構≥80,rs85_struct,RS,2024,532,-1.368,-2.05,41.35,-8.174,60.53
RS突破85＋結構≥80,rs85_struct,RS,2025,615,-0.99,-1.136,43.58,-6.471,56.75
RS突破85＋結構≥80,rs85_struct,RS,2026,149,-0.303,2.951,59.06,-8.878,75.84
右側首次≥58＋未過熱,right58,右側,2023,9743,0.0,0.424,52.29,-3.734,54.29
右側首次≥58＋未過熱,right58,右側,2024,8495,-0.719,-0.993,43.9,-5.797,54.49
右側首次≥58＋未過熱,right58,右側,2025,7425,-0.94,-1.515,40.26,-6.061,49.39
右側首次≥58＋未過熱,right58,右側,2026,3213,-0.393,-0.172,48.4,-6.301,61.41
右側首次≥65＋市場廣度改善,right65_market,市場組合,2023,3497,0.393,0.904,55.85,-3.245,54.68
右側首次≥65＋市場廣度改善,right65_market,市場組合,2024,2146,-0.666,-1.006,43.2,-5.691,54.89
右側首次≥65＋市場廣度改善,right65_market,市場組合,2025,1123,-0.263,-1.113,41.85,-5.182,50.67
右側首次≥65＋市場廣度改善,right65_market,市場組合,2026,698,-1.677,-0.591,46.13,-6.487,59.89
右側首次≥65＋未過熱,right65,右側,2023,9046,0.0,0.36,51.82,-3.777,54.16
右側首次≥65＋未過熱,right65,右側,2024,7584,-0.714,-0.911,44.33,-5.736,54.65
右側首次≥65＋未過熱,right65,右側,2025,6402,-0.949,-1.671,39.21,-6.131,48.91
右側首次≥65＋未過熱,right65,右側,2026,2830,-0.389,0.0,49.15,-6.31,62.16
右側首次≥70＋RS≥70,right70_rs70,右側×RS,2023,2875,0.141,0.347,51.2,-5.106,63.83
右側首次≥70＋RS≥70,right70_rs70,右側×RS,2024,2547,-1.004,-1.209,45.47,-7.348,64.27
右側首次≥70＋RS≥70,right70_rs70,右側×RS,2025,2499,-0.858,-1.562,41.02,-6.165,52.26
右側首次≥70＋RS≥70,right70_rs70,右側×RS,2026,1022,0.142,1.748,55.28,-7.233,73.97
正式鴨嘴回踩MA20守住,pullback_ma20,回踩,2023,7984,0.257,0.429,52.53,-3.551,53.53
正式鴨嘴回踩MA20守住,pullback_ma20,回踩,2024,6560,-0.539,-0.747,44.92,-5.495,55.4
正式鴨嘴回踩MA20守住,pullback_ma20,回踩,2025,5204,-1.041,-1.949,37.14,-6.427,47.94
正式鴨嘴回踩MA20守住,pullback_ma20,回踩,2026,2668,0.0,-0.305,47.75,-6.597,63.34
預備80首次出現,pre80,預備,2023,14244,0.0,0.395,52.01,-3.846,54.61
預備80首次出現,pre80,預備,2024,12676,-0.656,-0.789,44.94,-5.643,55.12
預備80首次出現,pre80,預備,2025,11194,-0.897,-1.67,39.9,-6.394,50.61
預備80首次出現,pre80,預備,2026,5117,-0.501,-0.546,47.27,-6.774,63.12
預備80＋RS≥70＋市場廣度改善,pre80_rs70_market,市場組合,2023,1502,0.482,1.168,55.99,-4.269,64.85
預備80＋RS≥70＋市場廣度改善,pre80_rs70_market,市場組合,2024,1136,-0.874,-1.673,43.75,-7.8,65.05
預備80＋RS≥70＋市場廣度改善,pre80_rs70_market,市場組合,2025,667,0.0,-1.093,42.28,-5.497,53.67
預備80＋RS≥70＋市場廣度改善,pre80_rs70_market,市場組合,2026,451,-1.163,0.826,52.55,-8.782,71.18
預備80＋RS≥70＋未過熱,pre80_rs70,預備×RS,2023,4719,0.119,0.554,52.15,-5.263,64.36
預備80＋RS≥70＋未過熱,pre80_rs70,預備×RS,2024,4498,-0.846,-1.134,45.53,-7.5,64.98
預備80＋RS≥70＋未過熱,pre80_rs70,預備×RS,2025,4347,-0.849,-1.596,41.18,-6.714,54.22
預備80＋RS≥70＋未過熱,pre80_rs70,預備×RS,2026,1929,0.391,1.004,53.34,-8.118,74.44
預備80＋RS≥85＋未過熱,pre80_rs85,預備×RS,2023,2366,0.0,0.0,49.7,-6.517,68.68
預備80＋RS≥85＋未過熱,pre80_rs85,預備×RS,2024,2335,-1.013,-1.316,45.48,-8.458,68.39
預備80＋RS≥85＋未過熱,pre80_rs85,預備×RS,2025,2167,-1.351,-2.041,42.32,-8.148,62.25
預備80＋RS≥85＋未過熱,pre80_rs85,預備×RS,2026,950,0.808,3.383,56.95,-9.865,82.53
鴨嘴新進＋RS≥70,duck_new_rs70,鴨嘴×RS,2023,2599,0.0,0.242,50.71,-5.183,63.18
鴨嘴新進＋RS≥70,duck_new_rs70,鴨嘴×RS,2024,2236,-1.001,-0.873,46.15,-7.309,64.71
鴨嘴新進＋RS≥70,duck_new_rs70,鴨嘴×RS,2025,2178,-0.984,-1.626,40.17,-6.25,51.1
鴨嘴新進＋RS≥70,duck_new_rs70,鴨嘴×RS,2026,964,0.374,1.487,54.15,-7.341,72.82
鴨嘴新進＋RS≥70＋市場廣度改善,duck_new_rs70_market,市場組合,2023,833,0.607,0.807,52.94,-4.125,65.07
鴨嘴新進＋RS≥70＋市場廣度改善,duck_new_rs70_market,市場組合,2024,559,-1.391,-1.227,44.01,-7.365,65.65
鴨嘴新進＋RS≥70＋市場廣度改善,duck_new_rs70_market,市場組合,2025,328,-0.49,-2.323,36.89,-5.746,50.61
鴨嘴新進＋RS≥70＋市場廣度改善,duck_new_rs70_market,市場組合,2026,190,-3.214,-0.168,49.47,-9.014,66.32
鴨嘴新進＋RS≥85,duck_new_rs85,鴨嘴×RS,2023,1171,-0.479,-0.625,47.05,-6.487,67.63
鴨嘴新進＋RS≥85,duck_new_rs85,鴨嘴×RS,2024,1100,-1.356,-1.787,43.45,-8.711,68.82
鴨嘴新進＋RS≥85,duck_new_rs85,鴨嘴×RS,2025,988,-1.474,-2.131,42.0,-8.161,60.83
鴨嘴新進＋RS≥85,duck_new_rs85,鴨嘴×RS,2026,434,1.253,3.9,55.99,-9.661,79.95
鴨嘴新進＋市場廣度改善,duck_new_market,市場組合,2023,3128,0.362,0.887,55.82,-3.213,53.29
鴨嘴新進＋市場廣度改善,duck_new_market,市場組合,2024,1842,-0.799,-0.983,43.05,-5.438,53.2
鴨嘴新進＋市場廣度改善,duck_new_market,市場組合,2025,854,-0.641,-1.466,40.4,-5.238,48.48
鴨嘴新進＋市場廣度改善,duck_new_market,市場組合,2026,584,-1.873,-0.842,44.18,-6.6,57.36
鴨嘴新進＋未過熱,duck_new_unhot,鴨嘴,2023,8134,0.0,0.36,51.77,-3.675,52.94
鴨嘴新進＋未過熱,duck_new_unhot,鴨嘴,2024,6516,-0.681,-0.838,44.24,-5.455,53.5
鴨嘴新進＋未過熱,duck_new_unhot,鴨嘴,2025,5272,-1.038,-1.779,38.16,-6.051,47.19
鴨嘴新進＋未過熱,duck_new_unhot,鴨嘴,2026,2448,-0.373,-0.179,48.28,-6.154,60.58
鴨嘴正式新進,duck_new,鴨嘴,2023,9610,0.0,0.161,50.33,-4.167,55.06
鴨嘴正式新進,duck_new,鴨嘴,2024,7931,-0.759,-0.957,44.14,-6.061,57.22
鴨嘴正式新進,duck_new,鴨嘴,2025,6625,-1.082,-1.825,39.53,-6.612,51.61
鴨嘴正式新進,duck_new,鴨嘴,2026,3326,-0.52,-0.336,47.93,-7.356,64.61
