策略,策略代碼,類型,樣本數,5日平均報酬%,5日中位報酬%,5日勝率%,10日平均報酬%,10日中位報酬%,10日勝率%,20日平均報酬%,20日中位報酬%,20日勝率%,40日平均報酬%,40日中位報酬%,40日勝率%,60日平均報酬%,60日中位報酬%,60日勝率%,20日中位MFE%,20日中位MAE%,40日中位MFE%,40日中位MAE%,20日達+5率%,20日跌-5率%,40日達+10率%,40日跌-8率%,20日中位高點日在第幾日,年度有效年數,年度正報酬率%,跨年20日中位報酬%,最差年度20日中位報酬%,綜合分數,排名,可靠度
預備80＋RS≥70＋市場廣度改善,pre80_rs70_market,市場組合,3756,0.518,-0.183,47.15,1.246,-0.17,48.16,2.408,0.0,49.44,4.04,-0.776,47.9,6.403,-0.663,48.27,7.854,-5.853,12.185,-8.728,63.68,55.86,56.52,52.96,9.0,4,50.0,-0.134,-1.673,85.59,1,高
右側首次≥65＋市場廣度改善,right65_market,市場組合,7464,0.399,-0.17,45.89,0.927,-0.103,47.62,1.719,0.0,49.2,2.845,-0.59,47.28,4.922,-0.48,48.2,5.769,-4.385,8.972,-6.603,54.62,45.2,46.46,43.29,9.0,4,25.0,-0.798,-1.113,80.88,2,高
鴨嘴新進＋市場廣度改善,duck_new_market,市場組合,6408,0.279,-0.223,45.12,0.713,-0.171,46.85,1.555,0.0,49.03,2.385,-0.568,47.21,4.489,-0.406,48.42,5.461,-4.205,8.634,-6.336,53.0,43.93,44.58,41.79,9.0,4,25.0,-0.912,-1.466,75.0,3,高
鴨嘴新進＋RS≥70＋市場廣度改善,duck_new_rs70_market,市場組合,1910,0.197,-0.384,44.35,0.948,-0.354,46.75,2.084,-0.416,47.23,2.804,-1.326,45.76,5.375,-0.821,47.23,7.474,-5.646,11.003,-8.411,62.88,55.18,52.72,51.68,9.0,4,25.0,-0.698,-2.323,67.94,4,高
右側首次≥70＋RS≥70,right70_rs70,右側×RS,8943,0.431,-0.326,45.58,1.002,-0.433,46.1,2.29,-0.491,47.19,4.342,-0.454,47.99,6.389,-0.833,47.41,7.488,-6.25,11.312,-8.777,61.88,58.4,53.68,53.29,9.0,4,50.0,-0.431,-1.562,59.85,5,高
正式鴨嘴回踩MA20守住,pullback_ma20,回踩,22416,0.236,-0.249,45.05,0.634,-0.278,46.27,1.4,-0.483,46.16,3.129,-0.67,46.77,5.16,-0.622,47.57,5.682,-5.028,8.649,-7.285,53.95,50.21,45.33,46.7,8.0,4,25.0,-0.526,-1.949,57.94,6,高
鴨嘴新進＋RS≥70,duck_new_rs70,鴨嘴×RS,7977,0.395,-0.364,45.03,0.95,-0.472,45.82,2.325,-0.501,46.97,4.54,-0.374,48.31,6.714,-0.622,47.95,7.374,-6.25,11.285,-8.762,61.48,58.44,53.52,53.24,9.0,4,50.0,-0.316,-1.626,53.38,7,高
預備80＋RS≥70＋未過熱,pre80_rs70,預備×RS,15493,0.3,-0.373,45.48,1.026,-0.462,46.31,2.453,-0.536,47.3,4.567,-0.694,47.52,6.592,-0.957,47.33,7.728,-6.61,11.638,-9.222,62.95,60.43,54.9,55.28,9.0,4,50.0,-0.29,-1.596,52.06,8,高
右側首次≥58＋未過熱,right58,右側,28876,0.109,-0.385,43.4,0.532,-0.417,44.95,1.442,-0.506,46.29,3.16,-0.726,46.63,5.104,-0.9,46.77,5.688,-5.128,8.767,-7.35,53.88,50.94,45.75,46.93,9.0,4,25.0,-0.583,-1.515,50.29,9,高
預備80首次出現,pre80,預備,43231,0.142,-0.355,43.95,0.602,-0.411,45.21,1.531,-0.525,46.24,3.163,-0.8,46.29,5.032,-0.871,46.8,5.815,-5.292,8.871,-7.571,54.73,52.08,46.46,47.99,8.0,4,25.0,-0.667,-1.67,49.41,10,高
RS突破70＋結構≥80,rs70_struct,RS,3577,0.242,-0.353,43.98,0.711,-0.415,45.71,2.189,-0.549,46.72,3.188,-0.965,46.55,5.634,-1.135,46.32,6.464,-5.771,9.551,-8.083,57.87,55.66,48.78,50.55,8.0,4,25.0,-0.547,-1.685,46.47,11,高
右側首次≥65＋未過熱,right65,右側,25862,0.174,-0.367,43.65,0.6,-0.427,44.93,1.601,-0.512,46.21,3.342,-0.686,46.87,5.427,-0.745,47.36,5.696,-5.148,8.85,-7.381,53.88,51.05,46.17,47.1,8.0,4,25.0,-0.456,-1.671,45.88,12,高
鴨嘴新進＋未過熱,duck_new_unhot,鴨嘴,22370,0.166,-0.357,43.5,0.511,-0.415,44.85,1.412,-0.517,45.99,3.126,-0.654,46.82,5.017,-0.639,47.53,5.455,-4.942,8.479,-7.127,52.58,49.63,44.82,45.81,8.0,4,25.0,-0.508,-1.779,44.71,13,高
RS突破85＋結構≥80,rs85_struct,RS,1919,-0.016,-0.585,42.78,0.672,-0.73,44.76,2.005,-0.62,46.59,4.593,0.0,49.66,5.951,-0.707,47.84,7.807,-6.79,12.0,-9.036,62.64,60.5,56.33,55.65,9.0,4,50.0,-0.462,-2.05,39.12,14,高
預備80＋RS≥85＋未過熱,pre80_rs85,預備×RS,7818,0.298,-0.478,45.65,1.191,-0.611,45.88,2.874,-0.732,47.28,5.3,-0.777,47.74,7.726,-1.201,47.54,9.528,-7.936,14.21,-10.896,68.5,67.23,61.14,61.88,9.0,4,25.0,-0.658,-2.041,37.65,15,高
鴨嘴正式新進,duck_new,鴨嘴,27492,0.335,-0.448,43.02,0.662,-0.48,44.7,1.71,-0.675,45.65,3.529,-0.818,46.5,5.413,-0.872,47.11,6.145,-5.556,9.375,-7.986,56.01,53.92,48.0,49.93,8.0,4,25.0,-0.646,-1.825,29.71,16,高
鴨嘴新進＋RS≥85,duck_new_rs85,鴨嘴×RS,3693,0.326,-0.63,44.33,0.932,-0.915,44.68,2.489,-1.091,45.68,4.787,-0.728,48.01,7.303,-1.033,47.44,8.96,-7.795,13.669,-10.914,67.61,66.42,59.65,61.74,8.0,4,25.0,-1.206,-2.131,24.12,17,高
