進場方案,進場代碼,出場方案,出場代碼,年度,樣本數,平均淨報酬%,中位淨報酬%,勝率%,中位最大回撤%
右側65＋市場改善｜一次買,single_right65,分層獲利管理＋結構風險,tiered,2023,3497,1.09,-0.768,38.72,-2.659
右側65＋市場改善｜一次買,single_right65,分層獲利管理＋結構風險,tiered,2024,2146,0.059,-1.394,31.69,-2.901
右側65＋市場改善｜一次買,single_right65,分層獲利管理＋結構風險,tiered,2025,1123,-0.427,-1.699,30.45,-3.187
右側65＋市場改善｜一次買,single_right65,分層獲利管理＋結構風險,tiered,2026,698,1.399,-1.633,31.81,-3.036
右側65＋市場改善｜一次買,single_right65,動態70/90＋結構風險,dynamic70_90,2023,3497,0.907,-0.75,39.38,-1.837
右側65＋市場改善｜一次買,single_right65,動態70/90＋結構風險,dynamic70_90,2024,2146,-0.007,-1.335,32.99,-1.744
右側65＋市場改善｜一次買,single_right65,動態70/90＋結構風險,dynamic70_90,2025,1123,-0.497,-1.617,31.52,-2.342
右側65＋市場改善｜一次買,single_right65,動態70/90＋結構風險,dynamic70_90,2026,698,0.025,-1.552,32.23,-1.544
右側65＋市場改善｜一次買,single_right65,動態80/90＋結構風險,dynamic80_90,2023,3497,0.987,-0.78,38.66,-2.072
右側65＋市場改善｜一次買,single_right65,動態80/90＋結構風險,dynamic80_90,2024,2146,0.061,-1.396,32.25,-1.92
右側65＋市場改善｜一次買,single_right65,動態80/90＋結構風險,dynamic80_90,2025,1123,-0.469,-1.693,31.08,-2.612
右側65＋市場改善｜一次買,single_right65,動態80/90＋結構風險,dynamic80_90,2026,698,0.087,-1.689,30.66,-1.88
右側65＋市場改善｜一次買,single_right65,只做結構風險退出,protective,2023,3497,1.66,-0.964,35.09,-3.386
右側65＋市場改善｜一次買,single_right65,只做結構風險退出,protective,2024,2146,0.245,-1.864,25.86,-3.683
右側65＋市場改善｜一次買,single_right65,只做結構風險退出,protective,2025,1123,-0.324,-2.042,25.29,-4.022
右側65＋市場改善｜一次買,single_right65,只做結構風險退出,protective,2026,698,4.236,-2.001,26.07,-3.825
右側65＋市場改善｜一次買,single_right65,固定60日（不做結構風險）,hold60,2023,3497,6.814,1.843,56.56,-11.617
右側65＋市場改善｜一次買,single_right65,固定60日（不做結構風險）,hold60,2024,2146,1.858,-3.615,39.66,-17.648
右側65＋市場改善｜一次買,single_right65,固定60日（不做結構風險）,hold60,2025,1123,-3.651,-6.34,30.37,-19.167
右側65＋市場改善｜一次買,single_right65,固定60日（不做結構風險）,hold60,2026,698,16.311,1.914,52.44,-18.311
右側65＋市場改善｜一次買,single_right65,過熱70後RS回落5＋結構風險,hot70_rs5,2023,3497,1.4,-0.907,36.46,-3.083
右側65＋市場改善｜一次買,single_right65,過熱70後RS回落5＋結構風險,hot70_rs5,2024,2146,0.187,-1.713,27.45,-3.384
右側65＋市場改善｜一次買,single_right65,過熱70後RS回落5＋結構風險,hot70_rs5,2025,1123,-0.3,-1.895,27.69,-3.72
右側65＋市場改善｜一次買,single_right65,過熱70後RS回落5＋結構風險,hot70_rs5,2026,698,3.738,-1.784,29.8,-3.532
右側65＋市場改善｜一次買,single_right65,過熱70＋結構風險,heat70,2023,3497,0.842,-0.706,39.89,-1.733
右側65＋市場改善｜一次買,single_right65,過熱70＋結構風險,heat70,2024,2146,-0.024,-1.26,33.88,-1.604
右側65＋市場改善｜一次買,single_right65,過熱70＋結構風險,heat70,2025,1123,-0.522,-1.564,32.59,-2.205
