進場方案,進場代碼,進場類型,出場方案,出場代碼,出場類型,樣本數,平均淨報酬%,中位淨報酬%,勝率%,平均已投入資金報酬%,中位已投入資金報酬%,平均持有日,中位持有日,中位MFE%,中位MAE%,中位最大回撤%,獲利虧損比,加滿比例%,平均最大投入比例%,平均買進次數,平均賣出次數,結構風險退出率%,固定到期率%,年度有效年數,年度正中位報酬率%,跨年中位報酬%,最差年度中位報酬%,綜合分數,總排名,可靠度
右側65＋市場改善｜一次買,single_right65,一次買,固定60日（不做結構風險）,hold60,持有基準,7464,4.702,-0.931,47.37,4.702,-0.931,61.0,61.0,9.082,-7.609,-14.729,2.055,100.0,100.0,1.0,1.0,0.0,100.0,4,50.0,-0.886,-6.34,72.06,1,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,固定60日（不做結構風險）,hold60,持有基準,6408,4.284,-0.816,47.55,4.284,-0.816,61.0,61.0,8.709,-7.251,-14.079,1.99,100.0,100.0,1.0,1.0,0.0,100.0,4,25.0,-2.138,-6.283,70.75,2,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,過熱70＋結構風險,heat70,全出,3756,0.379,-0.974,37.94,0.229,-1.587,8.34,6.0,1.142,-1.524,-1.739,1.943,34.74,72.82,2.19,1.0,66.83,0.13,4,0.0,-1.155,-1.26,65.0,3,高
預備80＋RS70＋市場改善｜一次買,single_pre80,一次買,固定60日（不做結構風險）,hold60,持有基準,3756,6.236,-1.175,47.28,6.236,-1.175,61.0,61.0,12.478,-9.966,-18.446,2.143,100.0,100.0,1.0,1.0,0.0,100.0,4,50.0,-0.807,-5.647,62.81,4,高
右側65＋市場改善｜一次買,single_right65,一次買,過熱70＋結構風險,heat70,全出,7464,0.316,-1.016,36.52,0.316,-1.016,8.02,5.0,0.985,-1.535,-1.735,2.002,100.0,100.0,1.0,1.0,76.02,0.09,4,0.0,-1.336,-1.564,61.38,5,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,過熱70＋結構風險,heat70,全出,6408,0.269,-1.024,35.86,0.269,-1.024,8.09,5.0,0.951,-1.495,-1.734,2.025,100.0,100.0,1.0,1.0,77.81,0.08,4,0.0,-1.417,-1.628,60.0,6,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,固定60日（不做結構風險）,hold60,持有基準,3756,5.803,-1.333,46.38,5.632,-1.512,61.0,61.0,11.109,-9.031,-17.429,2.19,92.33,96.17,1.92,1.0,0.0,100.0,4,50.0,-1.164,-5.041,59.81,7,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,過熱80＋結構風險,heat80,全出,3756,0.439,-1.085,36.47,0.306,-1.721,8.81,6.0,1.211,-1.609,-1.981,2.108,35.76,73.26,2.21,1.0,69.12,0.19,4,0.0,-1.313,-1.324,59.75,8,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,動態70/90＋結構風險,dynamic70_90,全出,6408,0.297,-1.055,35.41,0.297,-1.055,8.28,5.0,0.965,-1.524,-1.804,2.087,100.0,100.0,1.0,1.0,78.75,0.09,4,0.0,-1.454,-1.702,58.44,9,高
右側65＋市場改善｜一次買,single_right65,一次買,動態70/90＋結構風險,dynamic70_90,全出,7464,0.351,-1.075,35.69,0.351,-1.075,8.33,5.0,1.008,-1.578,-1.883,2.097,100.0,100.0,1.0,1.0,77.6,0.11,4,0.0,-1.444,-1.617,58.38,10,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,過熱80＋結構風險,heat80,全出,6408,0.335,-1.08,34.99,0.335,-1.08,8.5,6.0,0.983,-1.537,-1.932,2.158,100.0,100.0,1.0,1.0,80.06,0.12,4,0.0,-1.521,-1.707,57.38,11,高
右側65＋市場改善｜一次買,single_right65,一次買,過熱80＋結構風險,heat80,全出,7464,0.394,-1.093,35.41,0.394,-1.093,8.5,6.0,1.02,-1.588,-2.0,2.159,100.0,100.0,1.0,1.0,78.62,0.13,4,0.0,-1.462,-1.641,57.06,12,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,動態70/90＋結構風險,dynamic70_90,全出,3756,0.449,-1.114,36.08,0.309,-1.775,8.97,6.0,1.211,-1.636,-2.033,2.146,36.37,73.43,2.21,1.0,70.21,0.13,4,0.0,-1.31,-1.372,56.44,13,高
右側65＋市場改善｜一次買,single_right65,一次買,分層獲利管理＋結構風險,tiered,分批出場,7464,0.594,-1.115,34.81,0.594,-1.115,11.18,7.0,1.05,-1.622,-2.814,2.388,100.0,100.0,1.0,1.38,84.87,0.74,4,0.0,-1.514,-1.699,55.62,14,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,分層獲利管理＋結構風險,tiered,分批出場,6408,0.441,-1.105,34.27,0.441,-1.105,10.75,7.0,1.006,-1.557,-2.709,2.323,100.0,100.0,1.0,1.36,85.02,0.64,4,0.0,-1.543,-1.783,55.0,15,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,動態80/90＋結構風險,dynamic80_90,全出,6408,0.364,-1.112,34.57,0.364,-1.112,8.68,6.0,0.99,-1.561,-1.995,2.22,100.0,100.0,1.0,1.0,80.91,0.14,4,0.0,-1.554,-1.784,54.0,16,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,分層獲利管理＋結構風險,tiered,分批出場,3756,0.832,-1.188,34.77,0.809,-1.881,14.08,9.0,1.322,-1.659,-3.206,2.608,35.52,73.11,2.2,1.54,84.13,1.3,4,0.0,-1.397,-1.425,53.5,17,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,動態80/90＋結構風險,dynamic80_90,全出,3756,0.484,-1.17,35.38,0.348,-1.837,9.26,7.0,1.241,-1.677,-2.179,2.236,36.95,73.71,2.22,1.0,71.59,0.19,4,0.0,-1.369,-1.394,53.12,18,高
預備80試單50%→右側65加滿,stage_50_50,分批進場,過熱70＋結構風險,heat70,全出,3756,0.449,-1.168,39.14,0.401,-1.458,8.34,6.0,1.562,-1.944,-2.254,1.835,79.71,89.86,1.8,1.0,66.83,0.13,4,0.0,-1.349,-1.539,52.56,19,高
右側65＋市場改善｜一次買,single_right65,一次買,動態80/90＋結構風險,dynamic80_90,全出,7464,0.418,-1.126,34.93,0.418,-1.126,8.72,6.0,1.03,-1.622,-2.092,2.22,100.0,100.0,1.0,1.0,79.73,0.15,4,0.0,-1.542,-1.693,52.5,20,高
預備80試33%→右側65加33%→正式鴨嘴加34%,stage_33_33_34,分批進場,固定60日（不做結構風險）,hold60,持有基準,3756,5.196,-1.869,44.62,4.295,-2.165,61.0,61.0,10.003,-8.346,-16.127,2.313,79.63,92.15,2.77,1.0,0.0,100.0,4,50.0,-2.05,-5.166,52.44,21,高
正式鴨嘴新進＋市場改善｜一次買,single_duck,一次買,過熱70後RS回落5＋結構風險,hot70_rs5,全出,6408,0.696,-1.279,31.6,0.696,-1.279,10.74,7.0,1.006,-1.693,-3.139,2.843,100.0,100.0,1.0,1.0,85.02,0.64,4,0.0,-1.778,-1.904,50.25,22,高
