進場群組,策略,策略代碼,類型,樣本數,觸發樣本數,未觸發樣本數,有效觸發率%,平均報酬%,中位報酬%,勝率%,平均持有日,中位持有日,平均峰值捕捉率%,中位峰值捕捉率%,平均高點回吐%,中位高點回吐%,平均MAE%,平均出場後5日%,平均出場後10日%,觸發_平均報酬%,觸發_中位報酬%,觸發_勝率%,觸發_平均持有日,觸發_中位持有日,觸發_平均峰值捕捉率%,觸發_中位峰值捕捉率%,觸發_平均高點回吐%,觸發_中位高點回吐%,觸發_平均MAE%,觸發_平均出場後5日%,觸發_平均出場後10日%,未觸發_平均報酬%,未觸發_中位報酬%,未觸發_勝率%,未觸發_平均持有日,未觸發_中位持有日,未觸發_平均峰值捕捉率%,未觸發_中位峰值捕捉率%,未觸發_平均高點回吐%,未觸發_中位高點回吐%,未觸發_平均MAE%,未觸發_平均出場後5日%,未觸發_平均出場後10日%,政策分數,訊號分數,綜合分數,群組排名,是否進入綜合排名,可靠度,年度有效年數,年度正中位報酬年數,年度正報酬率%,跨年中位報酬%,最差年度中位報酬%,最佳年度中位報酬%,最低年度觸發率%,年度穩定分數
全部鴨嘴新進,RS自持有高點回落5,rs_drop5,RS,42056,37809,4247,89.9,2.552,-0.851,42.3,18.76,11.0,-43.03,-4.42,23.12,13.201,-6.142,0.272,0.67,-0.234,-1.079,39.56,14.12,10.0,-46.87,-6.25,22.982,12.734,-5.527,0.263,0.639,27.353,13.103,66.71,60.0,60.0,-9.32,44.44,24.347,18.984,-11.621,0.36,0.945,48.86,51.14,42.56,13.0,是,高,4,0,0.0,-1.424,-1.813,-0.318,86.32,0.0
全部鴨嘴新進,RS自持有高點回落10,rs_drop10,RS,42056,31406,10650,74.68,3.652,-1.122,43.46,31.63,27.0,-50.9,-6.06,22.02,13.709,-8.105,0.323,0.648,-1.51,-2.087,36.03,22.0,18.0,-64.75,-15.24,22.443,13.699,-7.41,0.322,0.569,18.875,7.692,65.36,60.0,60.0,-10.66,41.18,20.771,13.789,-10.154,0.326,0.886,47.95,42.27,38.2,16.0,是,高,4,0,0.0,-2.685,-3.286,-0.732,71.15,0.0
全部鴨嘴新進,RS曾≥85後跌破85,rs_cross85,RS,42056,9588,32468,22.8,4.946,-0.555,47.64,52.02,60.0,-54.1,-1.03,20.725,14.094,-11.038,0.279,0.702,6.009,1.209,53.94,25.0,22.0,-29.29,5.71,35.007,19.399,-8.776,0.446,0.935,4.632,-1.124,45.78,60.0,60.0,-61.53,-7.55,16.508,12.717,-11.705,0.229,0.633,60.23,32.55,49.99,,否,需擴充樣本,4,3,75.0,1.385,-0.36,7.052,21.21,75.0
全部鴨嘴新進,跌破MA20,below_ma20,價格,42056,41881,175,99.58,1.487,-1.34,31.34,10.86,7.0,-39.26,-8.88,24.185,13.386,-4.012,0.461,0.745,1.112,-1.357,31.06,10.65,7.0,-39.8,-9.09,24.233,13.406,-4.02,0.457,0.735,91.21,56.403,100.0,60.0,60.0,86.69,86.56,12.784,6.585,-2.029,1.509,3.262,33.86,49.32,35.74,18.0,是,高,4,0,0.0,-1.623,-1.676,-0.913,99.37,0.0
全部鴨嘴新進,跌破MA60,below_ma60,價格,42056,36152,5904,85.96,3.397,-2.682,30.74,27.05,22.0,-56.63,-20.69,22.275,14.374,-6.246,0.171,0.505,-3.226,-3.589,19.52,21.67,18.0,-78.1,-33.02,23.263,14.985,-6.672,0.155,0.456,43.951,28.582,99.47,60.0,60.0,70.92,72.94,16.224,9.835,-3.635,0.27,0.809,37.5,40.0,33.0,21.0,是,高,4,0,0.0,-3.828,-4.362,-2.693,81.64,0.0
全部鴨嘴新進,右側曾≥70後跌破70,right_cross70,右側,42056,37952,4104,90.24,1.645,-0.191,46.55,16.56,9.0,-33.43,0.0,24.027,13.203,-5.736,0.329,0.796,2.889,0.148,50.49,11.86,8.0,-16.52,0.94,24.904,13.024,-4.292,0.345,0.846,-9.86,-10.784,10.14,60.0,60.0,-211.27,-300.0,15.912,14.178,-19.087,0.184,0.331,52.05,54.32,52.76,11.0,是,高,4,2,50.0,0.102,-0.222,0.469,88.39,50.0
全部鴨嘴新進,右側曾≥60後跌破60,right_cross60,右側,42056,40434,1622,96.14,1.436,-0.653,40.2,12.05,7.0,-33.79,-3.45,24.236,13.095,-4.613,0.341,0.729,1.859,-0.532,41.41,10.13,6.0,-27.63,-2.76,24.621,13.091,-4.022,0.345,0.748,-9.124,-11.371,10.05,60.0,60.0,-223.62,-300.0,14.628,13.174,-19.339,0.241,0.25,47.73,56.59,44.56,12.0,是,高,4,0,0.0,-0.673,-0.838,-0.225,95.35,0.0
全部鴨嘴新進,右側曾≥50後跌破50,right_cross50,右側,42056,41196,860,97.96,1.334,-0.758,38.87,10.63,6.0,-34.0,-4.17,24.338,13.066,-4.366,0.365,0.755,1.543,-0.688,39.49,9.6,6.0,-30.78,-3.79,24.522,13.043,-4.032,0.366,0.764,-8.676,-12.317,9.53,60.0,60.0,-234.44,-300.0,15.486,13.953,-20.368,0.352,0.31,42.05,53.86,41.06,14.0,是,高,4,0,0.0,-0.846,-0.986,-0.35,97.36,0.0
全部鴨嘴新進,MA20-MA60開口轉縮,spread_down,均線,42056,42039,17,99.96,1.178,-0.799,37.16,8.97,5.0,-33.84,-4.49,24.494,13.067,-3.977,0.308,0.774,1.116,-0.8,37.14,8.95,5.0,-33.89,-4.52,24.499,13.075,-3.978,0.306,0.771,154.154,108.946,100.0,60.0,60.0,89.19,89.0,13.072,7.619,-1.638,6.003,7.443,36.36,51.59,37.76,17.0,是,高,4,0,0.0,-1.024,-1.11,-0.437,99.95,0.0
全部鴨嘴新進,MA60轉下,ma60_down,均線,42056,31466,10590,74.82,3.936,-1.914,34.87,30.63,27.0,-51.89,-14.63,21.736,13.942,-7.152,0.217,0.639,-5.373,-3.862,13.65,20.75,16.0,-89.77,-40.43,21.818,14.286,-8.091,0.187,0.573,31.594,17.987,97.89,60.0,60.0,56.85,60.12,21.493,12.782,-4.362,0.307,0.835,42.5,37.05,33.67,19.0,是,高,4,0,0.0,-4.264,-4.516,-2.965,69.41,0.0
