進場情境,進場代碼,獲利模式,獲利代碼,失敗規則,失敗代碼,年度,樣本數,平均淨報酬%,中位淨報酬%,勝率%,10分位淨報酬%,中位最大回撤%
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落10分,right_drop10,2023,3497,0.491,-0.585,39.95,-4.37,-1.456
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落10分,right_drop10,2024,2146,-0.16,-1.268,33.97,-5.606,-1.602
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落10分,right_drop10,2025,1123,-0.443,-1.201,33.93,-5.682,-1.699
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落10分,right_drop10,2026,698,-0.187,-1.416,33.81,-6.346,-1.663
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落15分,right_drop15,2023,3497,0.639,-0.585,41.35,-4.578,-1.675
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落15分,right_drop15,2024,2146,-0.213,-1.239,35.04,-6.457,-1.875
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落15分,right_drop15,2025,1123,-0.329,-1.232,35.17,-6.003,-1.932
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落15分,right_drop15,2026,698,-0.053,-1.392,34.38,-6.579,-2.011
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落20分,right_drop20,2023,3497,0.705,-0.585,41.98,-4.902,-1.828
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落20分,right_drop20,2024,2146,-0.175,-1.237,36.07,-6.706,-2.122
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落20分,right_drop20,2025,1123,-0.447,-1.331,35.35,-6.64,-2.253
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落20分,right_drop20,2026,698,0.027,-1.487,34.38,-6.774,-2.092
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→MA20或右側確認,grace10_combo,2023,3497,1.545,0.077,50.64,-5.777,-3.07
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→MA20或右側確認,grace10_combo,2024,2146,0.212,-1.078,42.17,-8.839,-3.734
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→MA20或右側確認,grace10_combo,2025,1123,-0.145,-1.079,40.69,-8.655,-3.817
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→MA20或右側確認,grace10_combo,2026,698,0.017,-1.742,39.26,-9.457,-4.178
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→右側回落15分,grace10_right15,2023,3497,1.543,0.1,50.84,-5.788,-3.084
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→右側回落15分,grace10_right15,2024,2146,0.209,-1.056,42.36,-9.1,-3.745
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→右側回落15分,grace10_right15,2025,1123,-0.156,-1.108,40.69,-8.674,-3.838
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→右側回落15分,grace10_right15,2026,698,0.114,-1.651,39.83,-9.507,-4.21
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→連2日跌破MA20,grace10_ma20_2,2023,3497,1.857,-0.414,47.38,-6.368,-3.643
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→連2日跌破MA20,grace10_ma20_2,2024,2146,0.226,-1.697,39.24,-9.324,-4.409
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→連2日跌破MA20,grace10_ma20_2,2025,1123,-0.342,-1.885,37.67,-9.292,-4.528
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→連2日跌破MA20,grace10_ma20_2,2026,698,0.329,-1.94,39.11,-9.713,-4.664
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限5日→連2日跌破MA20,grace5_ma20_2,2023,3497,1.348,-0.842,43.09,-6.299,-3.292
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限5日→連2日跌破MA20,grace5_ma20_2,2024,2146,0.183,-1.899,35.97,-7.817,-3.704
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限5日→連2日跌破MA20,grace5_ma20_2,2025,1123,-0.397,-2.067,34.28,-7.587,-3.884
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限5日→連2日跌破MA20,grace5_ma20_2,2026,698,0.142,-2.208,34.96,-8.981,-3.995
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-3%,hard3,2023,3497,1.957,-2.82,43.95,-5.563,-3.817
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-3%,hard3,2024,2146,-0.001,-3.669,30.75,-6.141,-3.44
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-3%,hard3,2025,1123,-0.989,-3.79,26.98,-6.788,-3.893
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-3%,hard3,2026,698,0.174,-3.465,30.23,-6.205,-3.245
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-5%,hard5,2023,3497,2.647,1.583,53.22,-7.222,-5.035
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-5%,hard5,2024,2146,0.059,-5.152,38.49,-8.097,-5.211
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-5%,hard5,2025,1123,-1.489,-5.553,32.59,-8.909,-5.736
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-5%,hard5,2026,698,0.284,-4.544,38.11,-7.829,-5.023
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-7%,hard7,2023,3497,3.016,3.172,58.28,-8.805,-5.742
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-7%,hard7,2024,2146,0.182,-4.029,44.22,-10.001,-6.509
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-7%,hard7,2025,1123,-1.919,-7.008,37.04,-11.475,-7.403
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-7%,hard7,2026,698,0.538,-3.664,43.84,-9.338,-6.337
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-8%,hard8,2023,3497,3.183,3.592,60.08,-9.535,-5.882
