失敗規則,失敗代碼,跨情境數,平均情境排名,排名前3比例%,中位報酬改善pp_中位,平均報酬改善pp_中位,10分位改善pp_中位,最大回撤改善pp_中位,失敗停損率%_中位,停損後達原進場+5率%_中位,停損早於後續獲利訊號率%_中位,年度正中位報酬率%_中位,平均情境綜合分數,總排名
收盤跌幅達-8%,hard8,6,1.67,100.0,-3.289,-0.576,4.596,0.639,37.94,15.18,20.29,25.0,59.21,1
第15日仍未曾+5%,no_launch15_5,6,2.5,100.0,-3.604,-0.719,4.614,2.922,50.55,31.17,25.93,25.0,57.97,2
收盤跌幅達-7%,hard7,6,3.67,50.0,-4.259,-0.646,5.373,1.079,41.62,17.05,22.4,25.0,57.08,3
寬限10日→MA20或右側確認,grace10_combo,6,5.17,16.67,-4.039,-1.207,7.316,4.104,72.93,40.34,29.54,25.0,54.5,4
寬限10日→右側回落15分,grace10_right15,6,5.67,0.0,-4.039,-1.199,7.311,4.085,72.82,40.39,29.45,25.0,54.42,5
第10日仍未曾+3%,no_launch10_3,6,7.0,0.0,-3.982,-0.806,4.266,3.329,43.41,31.8,29.41,25.0,52.67,6
右側自高點回落15分,right_drop15,6,8.67,0.0,-4.418,-1.766,9.619,5.81,80.95,44.73,36.55,0.0,50.36,7
緊急-8%＋第10日後MA20/右側,hybrid_emergency8_grace10,6,9.67,0.0,-4.039,-1.256,6.527,4.122,73.38,40.1,29.98,12.5,49.81,8
右側自高點回落20分,right_drop20,6,9.83,0.0,-4.42,-1.736,9.232,5.613,80.21,44.25,35.98,0.0,49.64,9
右側自高點回落10分,right_drop10,6,10.0,0.0,-4.435,-1.843,9.894,6.06,82.34,45.58,37.61,0.0,49.34,10
收盤跌幅達-5%,hard5,6,12.17,0.0,-7.377,-0.829,7.127,2.17,51.0,23.02,26.8,25.0,46.73,11
收盤跌破訊號日低點,signal_low,6,12.67,0.0,-5.389,-1.337,8.912,5.079,69.89,33.62,33.02,0.0,46.46,12
收盤跌幅達-3%,hard3,6,15.33,0.0,-6.869,-1.111,8.967,3.712,62.78,30.14,32.22,0.0,44.46,13
連續2日跌破MA20,ma20_2,6,15.0,0.0,-4.928,-1.419,8.289,4.474,73.52,37.91,30.45,0.0,44.26,14
寬限10日→連2日跌破MA20,grace10_ma20_2,6,15.0,0.0,-4.569,-1.022,6.907,3.411,68.31,34.58,25.33,0.0,44.21,15
寬限5日→連2日跌破MA20,grace5_ma20_2,6,16.0,0.0,-4.893,-1.324,7.812,3.99,71.8,36.78,28.79,0.0,43.75,16
連續3日跌破MA20,ma20_3,6,16.5,0.0,-5.009,-1.282,7.699,3.936,70.96,35.46,28.29,0.0,43.62,17
無失敗停損,none,6,4.5,33.33,0.0,0.0,0.0,0.0,0.0,,,75.0,54.86,999
