進場情境,進場代碼,獲利模式,獲利代碼,失敗規則,失敗代碼,樣本數,平均淨報酬%,中位淨報酬%,勝率%,10分位淨報酬%,5分位淨報酬%,中位MAE%,中位最大回撤%,中位持有日,失敗停損率%,獲利成功退出率%,固定到期率%,停損後回到進場價率%,停損後達原進場+5率%,停損後自退出價反彈5率%,停損早於後續獲利訊號率%,年度有效年數,年度正中位報酬率%,最差年度中位報酬%,基準中位淨報酬%,基準平均淨報酬%,基準勝率%,基準10分位淨報酬%,基準中位最大回撤%,中位報酬改善pp,平均報酬改善pp,勝率改善pp,10分位改善pp,最大回撤改善pp,情境綜合分數,情境排名
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-8%,hard8,7464,1.296,0.824,51.54,-10.342,-11.724,-5.861,-6.586,20.0,36.92,41.55,21.53,28.48,15.13,53.3,20.65,4,25.0,-7.302,3.514,1.833,59.55,-14.863,-7.066,-2.69,-0.537,-8.01,4.521,0.48,63.23,1
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-7%,hard7,7464,1.227,-0.153,49.69,-9.59,-10.829,-5.861,-6.267,18.0,40.46,39.97,19.57,31.69,17.02,52.25,22.75,4,25.0,-7.008,3.514,1.833,59.55,-14.863,-7.066,-3.667,-0.606,-9.86,5.273,0.799,62.61,2
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,第15日仍未曾+5%,no_launch15_5,7464,1.19,-0.107,49.28,-10.241,-14.01,-4.087,-4.266,15.0,50.39,36.12,13.49,64.64,30.98,43.18,25.9,4,25.0,-1.602,3.514,1.833,59.55,-14.863,-7.066,-3.621,-0.643,-10.27,4.622,2.8,60.9,3
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→MA20或右側確認,grace10_combo,7464,0.765,-0.585,45.65,-7.712,-10.37,-3.103,-3.414,11.0,72.23,27.77,0.0,72.49,39.34,46.23,29.62,4,25.0,-1.742,3.514,1.833,59.55,-14.863,-7.066,-4.099,-1.068,-13.9,7.151,3.652,56.61,4
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→右側回落15分,grace10_right15,7464,0.77,-0.585,45.85,-7.736,-10.495,-3.109,-3.43,11.0,72.11,27.88,0.01,72.5,39.46,46.38,29.52,4,25.0,-1.651,3.514,1.833,59.55,-14.863,-7.066,-4.099,-1.063,-13.7,7.127,3.636,56.56,5
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,第10日仍未曾+3%,no_launch10_3,7464,1.064,-0.471,46.64,-10.462,-14.982,-3.942,-3.97,10.0,43.34,36.5,20.16,68.53,31.59,45.75,29.24,4,25.0,-1.789,3.514,1.833,59.55,-14.863,-7.066,-3.985,-0.769,-12.91,4.401,3.096,56.25,6
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,無失敗停損,none,7464,1.833,3.514,59.55,-14.863,-20.56,-5.861,-7.066,60.0,0.0,49.17,50.83,,,,,4,75.0,-1.458,3.514,1.833,59.55,-14.863,-7.066,0.0,0.0,0.0,0.0,0.0,54.86,7
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,緊急-8%＋第10日後MA20/右側,hybrid_emergency8_grace10,7464,0.707,-0.585,44.98,-8.472,-9.836,-3.103,-3.39,11.0,72.8,27.2,0.0,72.18,39.11,46.95,30.18,4,25.0,-1.928,3.514,1.833,59.55,-14.863,-7.066,-4.099,-1.126,-14.57,6.391,3.676,53.33,8
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落15分,right_drop15,7464,0.184,-0.947,37.96,-5.506,-7.595,-2.057,-1.795,4.0,80.36,19.63,0.01,80.94,44.36,50.18,36.76,4,0.0,-1.392,3.514,1.833,59.55,-14.863,-7.066,-4.461,-1.649,-21.59,9.357,5.271,51.55,9
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落20分,right_drop20,7464,0.215,-0.964,38.57,-5.989,-7.982,-2.192,-2.003,5.0,79.38,20.59,0.03,79.65,43.68,49.96,36.0,4,0.0,-1.487,3.514,1.833,59.55,-14.863,-7.066,-4.478,-1.618,-20.98,8.874,5.063,49.84,10
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,右側自高點回落10分,right_drop10,7464,0.1,-0.974,36.75,-5.133,-6.752,-1.948,-1.553,4.0,82.03,17.97,0.0,82.39,45.24,50.35,38.04,4,0.0,-1.416,3.514,1.833,59.55,-14.863,-7.066,-4.488,-1.733,-22.8,9.73,5.513,49.72,11
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌破訊號日低點,signal_low,7464,0.591,-1.949,31.34,-6.134,-7.795,-2.532,-2.434,5.0,69.01,26.3,4.69,70.43,33.66,48.65,33.14,4,0.0,-2.331,3.514,1.833,59.55,-14.863,-7.066,-5.463,-1.242,-28.21,8.729,4.632,48.56,12
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,收盤跌幅達-5%,hard5,7464,1.059,-3.469,44.47,-7.839,-8.993,-5.276,-5.204,13.0,49.64,35.65,14.71,42.54,23.02,51.04,27.23,4,25.0,-5.553,3.514,1.833,59.55,-14.863,-7.066,-6.983,-0.774,-15.08,7.024,1.862,46.39,13
右側65＋市場改善,right65_market,一般70／領頭90,profit70_90,寬限10日→連2日跌破MA20,grace10_ma20_2,7464,0.914,-1.093,42.81,-8.115,-10.834,-3.397,-4.049,11.0,67.74,31.91,0.35,66.73,33.31,44.68,25.47,4,0.0,-1.94,3.514,1.833,59.55,-14.863,-7.066,-4.607,-0.919,-16.74,6.748,3.017,46.31,14
